Label,Organ,Age,Ethnicity,Gender,COD_Anoxia,COD_CerebroVascular_Stroke,COD_HeadTrauma,COD_CNSTumor,COD_Other,ABO_O,ABO_A,ABO_B,ABO_AB,ABO_Unknown,DonorType_DeceasedDonor,DonorType_LivingDonor,Region1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,Region10,Region11
Kidney_under1_White_Male,Kidney,under1,White,Male,33,0,16,0,3,26,19,4,3,0,52,0,2,5,3,4,15,2,3,3,0,7,8
Kidney_under1_White_Female,Kidney,under1,White,Female,12,2,7,0,1,13,4,4,1,0,22,0,0,5,0,1,3,0,3,4,0,2,4
Kidney_under1_Black_Male,Kidney,under1,Black,Male,9,0,4,0,0,6,4,3,0,0,13,0,0,1,3,2,1,0,1,0,0,2,3
Kidney_under1_Black_Female,Kidney,under1,Black,Female,6,0,1,0,1,3,2,3,0,0,8,0,0,0,1,1,2,0,0,1,0,1,2
Kidney_under1_Hispanic_Male,Kidney,under1,Hispanic,Male,7,1,4,0,0,6,4,1,1,0,12,0,0,0,0,5,4,0,0,1,1,0,1
Kidney_under1_Hispanic_Female,Kidney,under1,Hispanic,Female,2,0,5,0,0,4,2,1,0,0,7,0,1,2,0,1,2,1,0,0,0,0,0
Kidney_under1_Asian_Male,Kidney,under1,Asian,Male,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Kidney_under1_Asian_Female,Kidney,under1,Asian,Female,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Kidney_under1_PacificIslander_Male,Kidney,under1,PacificIslander,Male,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Kidney_under1_Multiracial_Male,Kidney,under1,Multiracial,Male,0,1,1,0,0,1,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0
Kidney_under1_Multiracial_Female,Kidney,under1,Multiracial,Female,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Kidney_1_5years_White_Male,Kidney,1-5years,White,Male,42,4,21,0,1,30,32,4,2,0,68,0,1,5,7,9,7,10,6,6,3,8,6
Kidney_1_5years_White_Female,Kidney,1-5years,White,Female,30,0,15,1,3,17,26,6,0,0,49,0,2,5,8,1,5,5,1,9,3,7,3
Kidney_1_5years_Black_Male,Kidney,1-5years,Black,Male,16,1,4,0,2,9,5,6,3,0,23,0,1,3,8,2,1,1,1,0,2,0,4
Kidney_1_5years_Black_Female,Kidney,1-5years,Black,Female,8,0,5,0,2,7,5,3,0,0,15,0,0,0,5,2,1,0,1,2,2,0,2
Kidney_1_5years_Hispanic_Male,Kidney,1-5years,Hispanic,Male,14,1,7,0,0,9,11,1,1,0,22,0,0,0,7,3,7,0,1,2,1,0,1
Kidney_1_5years_Hispanic_Female,Kidney,1-5years,Hispanic,Female,10,1,5,0,0,11,3,2,0,0,16,0,1,3,4,2,5,0,0,0,1,0,0
Kidney_1_5years_Asian_Male,Kidney,1-5years,Asian,Male,1,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0
Kidney_1_5years_Asian_Female,Kidney,1-5years,Asian,Female,0,0,2,0,0,0,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0
Kidney_1_5years_American_Indian_Female,Kidney,1-5years,American_Indian,Female,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Kidney_1_5years_Multiracial_Male,Kidney,1-5years,Multiracial,Male,1,0,1,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0
Kidney_6_10years_White_Male,Kidney,6-10years,White,Male,16,0,19,0,3,25,10,2,1,0,38,0,0,6,7,2,3,3,4,5,1,6,1
Kidney_6_10years_White_Female,Kidney,6-10years,White,Female,10,2,6,0,1,10,6,2,1,0,19,0,1,5,2,3,1,0,0,1,2,3,1
Kidney_6_10years_Black_Male,Kidney,6-10years,Black,Male,8,1,7,0,1,8,6,2,1,0,17,0,0,0,9,3,1,0,2,0,0,1,1
Kidney_6_10years_Black_Female,Kidney,6-10years,Black,Female,10,0,3,0,1,4,5,5,0,0,14,0,0,1,3,2,1,0,1,0,1,2,3
Kidney_6_10years_Hispanic_Male,Kidney,6-10years,Hispanic,Male,9,2,4,1,0,5,6,4,1,0,16,0,1,0,5,1,4,1,0,1,0,0,3
Kidney_6_10years_Hispanic_Female,Kidney,6-10years,Hispanic,Female,2,3,4,0,0,5,3,1,0,0,9,0,0,3,1,2,3,0,0,0,0,0,0
Kidney_6_10years_Asian_Male,Kidney,6-10years,Asian,Male,1,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0
Kidney_6_10years_Asian_Female,Kidney,6-10years,Asian,Female,1,0,1,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0
Kidney_6_10years_American_Indian_Male,Kidney,6-10years,American_Indian,Male,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Kidney_6_10years_American_Indian_Female,Kidney,6-10years,American_Indian,Female,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Kidney_6_10years_PacificIslander_Male,Kidney,6-10years,PacificIslander,Male,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Kidney_6_10years_Multiracial_Male,Kidney,6-10years,Multiracial,Male,2,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0
