Label,Organ,Age,Ethnicity,Gender,COD_NotReported,COD_Anoxia,COD_CerebroVascular_Stroke,COD_HeadTrauma,COD_CNSTumor,COD_Other,ABO_O,ABO_A,ABO_B,ABO_AB,ABO_Unknown,Circumstance_ChildAbuse,Circumstance_Homicide,Circumstance_MVA,Circumstance_NaturalCauses,Circumstance_NonMVA,Circumstance_None,Circumstance_NotReported,Circumstance_Suicide,Mechanism_Asphyxiation,Mechanism_BluntInjury,Mechanism_Cardiovascular,Mechanism_Drowning,Mechanism_DrugIntoxication,Mechanism_Electrical,Mechanism_GunshotWound,Mechanism_IntracranialHemorrhage_Stroke,Mechanism_NaturalCauses,Mechanism_None,Mechanism_NotReported,Mechanism_Seizure,Mechanism_Sids,Mechanism_Stab,DonorType_DeceasedDonor,DonorType_LivingDonor,Region1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,Region10,Region11
Kidney_under1_White_Male,Kidney,under1,White,Male,0,0,0,4.848484848,0,0.909090909,10,7.307692308,1.538461538,1.153846154,0,10,0,1.052631579,8.947368421,4.210526316,3.157894737,0,0,10,10,10,0,0,0,0,2.307692308,3.076923077,2.307692308,0,1.538461538,0.769230769,0,10,0,1.333333333,3.333333333,2,2.666666667,10,1.333333333,2,2,0,4.666666667,5.333333333
Kidney_under1_White_Female,Kidney,under1,White,Female,0,10,1.666666667,5.833333333,0,0.833333333,10,3.076923077,3.076923077,0.769230769,0,7.5,0,3.75,6.25,0,10,0,0,5.714285714,10,5.714285714,1.428571429,0,0,0,4.285714286,0,1.428571429,0,1.428571429,1.428571429,0,10,0,0,10,0,2,6,0,6,8,0,4,8
Kidney_under1_Black_Male,Kidney,under1,Black,Male,0,10,0,4.444444444,0,0,10,6.666666667,5,0,0,7.5,2.5,0,10,5,7.5,0,0,6.666666667,10,10,3.333333333,0,0,0,3.333333333,3.333333333,3.333333333,0,0,3.333333333,0,10,0,0,3.333333333,10,6.666666667,3.333333333,0,3.333333333,0,0,6.666666667,10
Kidney_under1_Black_Female,Kidney,under1,Black,Female,0,10,0,1.666666667,0,1.666666667,10,6.666666667,10,0,0,0,3.333333333,0,10,6.666666667,6.666666667,0,0,10,5,10,0,0,0,0,0,5,5,0,0,5,0,10,0,0,0,5,5,10,0,0,5,0,5,10
Kidney_under1_Hispanic_Male,Kidney,under1,Hispanic,Male,0,10,1.428571429,5.714285714,0,0,10,6.666666667,1.666666667,1.666666667,0,6.666666667,6.666666667,3.333333333,10,3.333333333,10,0,0,5,10,10,0,0,0,0,2.5,0,2.5,0,0,0,0,10,0,0,0,0,10,8,0,0,2,2,0,2
Kidney_under1_Hispanic_Female,Kidney,under1,Hispanic,Female,0,4,0,10,0,0,10,5,2.5,0,0,10,2.5,2.5,0,2.5,0,0,0,2,10,0,0,0,0,0,2,0,0,0,0,0,0,10,0,5,10,0,5,10,5,0,0,0,0,0
Kidney_under1_Asian_Male,Kidney,under1,Asian,Male,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0
Kidney_under1_Asian_Female,Kidney,under1,Asian,Female,0,0,0,10,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0
Kidney_under1_PacificIslander_Male,Kidney,under1,PacificIslander,Male,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0
Kidney_under1_Multiracial_Male,Kidney,under1,Multiracial,Male,0,0,10,10,0,0,10,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,10,10,0,0,0,0,0,0,0,0
